ID,run,proportion_NA
Uts_13_0y_0457,20191203N,0.05113636363636364
Uts_13_0y_0480,20191203N,0.9943181818181818
Uts_13_0y_0482,20191203N,0.2784090909090909
Uts_13_0y_0524,20191203N,0.24431818181818182
Uts_13_0y_0553,20191203N,0.2840909090909091
Uts_13_0y_0616,20191203N,0.13636363636363635
Uts_13_0y_0638,20191203N,0.10795454545454546
Uts_13_0y_0646,20191203N,1.0
Uts_13_0y_0699,20191203N,0.056818181818181816
Uts_13_0y_0705,20191203N,0.09090909090909091
Uts_13_0y_0801,20191203N,0.056818181818181816
Uts_13_0y_0932,20191203N,0.14204545454545456
Uts_13_1y_0007,20191203N,1.0
Uts_13_1y_0079,20191203N,0.1534090909090909
Uts_13_1y_0104,20191203N,0.05113636363636364
Uts_13_1y_0144,20191203N,0.05113636363636364
Uts_13_1y_0173,20191203N,0.09659090909090909
Uts_13_1y_0201,20191203N,0.0625
Uts_13_1y_0204,20191203N,0.06818181818181818
Uts_13_1y_0214,20191203N,0.07386363636363637
Uts_13_1y_0226,20191203N,0.05113636363636364
Uts_13_1y_0237,20191203N,0.07386363636363637
Uts_13_1y_0245,20191203N,0.056818181818181816
Uts_13_1y_0269,20191203N,0.0625
Uts_13_1y_0275,20191203N,0.06818181818181818
Uts_13_1y_0296,20191203N,0.09659090909090909
Uts_13_1y_0313,20191203N,0.056818181818181816
Uts_13_1y_0395,20191203N,0.09659090909090909
Uts_13_1y_0418,20191203N,0.08522727272727272
Uts_13_1y_0445,20191203N,0.06818181818181818
Uts_13_1y_0446,20191203N,0.6590909090909091
Uts_13_1y_0447,20191203N,0.24431818181818182
Uts_13_1y_0448,20191203N,0.11931818181818182
Uts_13_1y_0474,20191203N,0.06818181818181818
Uts_13_1y_0484,20191203N,0.056818181818181816
Uts_13_1y_0485,20191203N,0.06818181818181818
Uts_13_1y_0491,20191203N,0.3068181818181818
Uts_13_1y_0495,20191203N,0.11363636363636363
Uts_13_1y_0499,20191203N,0.09090909090909091
Uts_13_1y_0507,20191203N,0.1590909090909091
Uts_13_1y_0509,20191203N,0.26704545454545453
Uts_13_1y_0511,20191203N,0.4034090909090909
Uts_13_1y_0515,20191203N,0.26704545454545453
Uts_13_1y_0516,20191203N,0.0625
Uts_13_1y_0523,20191203N,0.05113636363636364
Uts_13_1y_0531,20191203N,0.2556818181818182
Uts_13_1y_0534,20191203N,0.09090909090909091
Uts_13_1y_0535,20191203N,0.056818181818181816
Uts_13_1y_0543,20191203N,0.23863636363636365
Uts_13_1y_0547,20191203N,0.05113636363636364
Uts_13_1y_0548,20191203N,0.056818181818181816
Uts_13_1y_0549,20191203N,0.056818181818181816
Uts_13_1y_0550,20191203N,0.056818181818181816
Uts_13_1y_0557,20191203N,0.32954545454545453
Uts_13_1y_0562,20191203N,0.0625
Uts_13_1y_0563,20191203N,0.07386363636363637
Uts_13_1y_0564,20191203N,0.0625
Uts_13_1y_0565,20191203N,0.10795454545454546
Uts_13_1y_0572,20191203N,0.056818181818181816
Uts_13_1y_0574,20191203N,0.11363636363636363
Uts_13_1y_0778,20200117N,0.16477272727272727
Uts_13_1y_0796,20200117N,0.9545454545454546
Uts_13_1y_0864,20200117N,1.0
Uts_13_1y_0896,20200117N,0.1534090909090909
Uts_14_0y_0001,20190416,0.05113636363636364
Uts_14_0y_0002,20190416,0.056818181818181816
Uts_14_0y_0004,20190416,0.13636363636363635
Uts_14_0y_0007,20190416,0.07386363636363637
Uts_14_0y_0039,20200117N,0.10795454545454546
Uts_14_0y_0081,20200117N,0.056818181818181816
Uts_14_0y_0119,20200117N,0.9943181818181818
Uts_14_0y_0123,20200117N,1.0
Uts_14_0y_0124,20200117N,0.9943181818181818
Uts_14_0y_0125,20200117N,1.0
Uts_14_0y_0126,20200117N,1.0
Uts_14_0y_0155,20200117N,0.06818181818181818
Uts_14_0y_0206,20200117N,0.056818181818181816
Uts_14_0y_0215,20200117N,0.056818181818181816
Uts_14_0y_0220,20200117N,0.125
Uts_14_0y_0222,20200117N,0.07954545454545454
Uts_14_0y_0223,20200117N,0.09090909090909091
Uts_14_0y_0230,20200117N,0.056818181818181816
Uts_14_0y_0231,20200117N,0.09090909090909091
Uts_14_0y_0238,20200117N,0.32386363636363635
Uts_14_0y_0244,20200117N,0.14204545454545456
Uts_14_0y_0247,20200117N,0.14772727272727273
Uts_14_0y_0249,20200117N,0.08522727272727272
Uts_14_0y_0254,20200117N,0.2784090909090909
Uts_14_0y_0256,20200117N,0.10227272727272728
Uts_14_0y_0261,20200117N,0.11363636363636363
Uts_14_0y_0272,20200117N,0.09659090909090909
Uts_14_0y_0276,20200117N,0.056818181818181816
Uts_14_0y_0278,20200117N,0.17045454545454544
Uts_14_0y_0279,20200117N,0.05113636363636364
Uts_14_0y_0281,20200117N,0.05113636363636364
Uts_14_0y_0286,20200117N,0.10795454545454546
Uts_14_0y_0308,20200117N,0.06818181818181818
Uts_14_0y_0316,20200117N,0.08522727272727272
Uts_14_0y_0324,20200117N,0.056818181818181816
Uts_14_0y_0326,20200117N,0.05113636363636364
Uts_14_0y_0327,20200117N,0.05113636363636364
Uts_14_0y_0328,20200117N,0.07954545454545454
Uts_14_0y_0329,20200117N,1.0
Uts_14_0y_0356,20200117N,0.125
Uts_14_0y_0357,20200117N,0.05113636363636364
Uts_14_0y_0376,20200117N,0.05113636363636364
Uts_14_0y_0396,20200117N,0.07386363636363637
Uts_14_0y_0449,20200117N,0.10227272727272728
Uts_14_0y_0490,20200117N,1.0
Uts_14_0y_0508,20200117N,0.14204545454545456
Uts_14_0y_0635,20200117N,1.0
Uts_14_0y_0639,20200117N,0.05113636363636364
Uts_14_0y_0645,20200117N,0.19886363636363635
Uts_14_0y_0757,20200117N,1.0
Uts_14_0y_0769,20200117N,0.10227272727272728
Uts_14_0y_0782,20200117N,0.10227272727272728
Uts_14_0y_0837,20200117N,0.056818181818181816
Uts_14_0y_0844,20200117N,0.05113636363636364
Uts_14_0y_0847,20200117N,0.1590909090909091
Uts_14_0y_0857,20200117N,1.0
Uts_14_0y_0858,20200117N,0.8409090909090909
Uts_14_0y_0971,20200117N,0.18181818181818182
Uts_14_0y_0978,20200117N,0.06818181818181818
Uts_14_0y_1066,20200117N,0.13636363636363635
Uts_14_0y_1585,20200117N,1.0
Uts_14_1y_0095,20200117N,0.0625
Uts_14_1y_0193,20200117N,0.0625
Uts_14_1y_0382,20200117N,1.0
Uts_14_1y_0395,20200117N,0.2840909090909091
