id,offspring_year,offspring_age_class,n_offspring,parent_type,parent_year,parent_age_class
Uts_18A_080,19,0y,43,dam,18,A
Uts_18A_088,19,0y,64,dam,18,A
Uts_18A_038,19,0y,44,dam,18,A
Uts_15_0y_0911,19,0y,1,dam,15,0y
Uts_18A_117,19,0y,68,dam,18,A
Uts_18A_117,19,1y,1,dam,18,A
Uts_17_1y_1917,19,0y,1,dam,17,1y
Uts_18_1y_1018,19,0y,1,dam,18,1y
Uts_17_0y_0929,19,0y,1,dam,17,0y
Uts_13_1y_0909,19,0y,1,dam,13,1y
Uts_12_0y_698,19,0y,1,dam,12,0y
Uts_18A_042,19,0y,3,dam,18,A
Uts_18A_096,19,0y,27,dam,18,A
Uts_15_1y_0268,19,0y,1,dam,15,1y
Uts_18A_045,19,0y,2,dam,18,A
Uts_17_0y_0965,19,0y,1,dam,17,0y
Uts_15_0y_0761,19,0y,1,dam,15,0y
Uts_12_0y_806,19,0y,1,dam,12,0y
Uts_16_0y_1245,19,0y,1,dam,16,0y
Uts_14_1y_0281,19,0y,1,dam,14,1y
Uts_14_0y_0946,19,0y,1,dam,14,0y
Uts_12_0y_519,19,0y,2,dam,12,0y
Uts_17_0y_2285,19,0y,3,dam,17,0y
Uts_14_0y_0354,19,0y,1,dam,14,0y
Uts_17_0y_2159,19,0y,1,dam,17,0y
Uts_17_0y_2324,19,0y,1,dam,17,0y
Uts_15_1y_0072,19,0y,1,dam,15,1y
Uts_12_0y_763,19,0y,1,dam,12,0y
Uts_17_0y_0662,19,0y,1,dam,17,0y
Uts_13_0y_0283,19,0y,1,dam,13,0y
Uts_13_1y_0842,19,0y,1,dam,13,1y
Uts_18A_119,19,0y,3,dam,18,A
Uts_17_0y_1989,19,1y,1,dam,17,0y
Uts_18_1y_0816,19,1y,1,dam,18,1y
Uts_12_0y_537,19,1y,1,dam,12,0y
Uts_16_2y_0019,19,1y,1,dam,16,2y
Uts_17_1y_1753,19,2-3y,1,dam,17,1y
Uts_13_0y_0084,19,2-3y,1,dam,13,0y
Uts_13_0y_0192,19,2-3y,1,dam,13,0y
NA,11,A,54,sire,NA,NA
NA,12,A,36,sire,NA,NA
NA,12,0y,585,sire,NA,NA
NA,13,A,66,sire,NA,NA
NA,13,0y,809,sire,NA,NA
NA,13,1y,673,sire,NA,NA
NA,14,A,110,sire,NA,NA
NA,14,0y,982,sire,NA,NA
NA,14,1y,411,sire,NA,NA
NA,14,2pp,10,sire,NA,NA
NA,14,2y,139,sire,NA,NA
NA,15,A,81,sire,NA,NA
NA,15,0y,1043,sire,NA,NA
NA,15,1y,326,sire,NA,NA
NA,15,2y,105,sire,NA,NA
NA,16,A,100,sire,NA,NA
NA,16,0y,1036,sire,NA,NA
NA,16,1y,209,sire,NA,NA
NA,16,2y,22,sire,NA,NA
NA,16,3y,28,sire,NA,NA
NA,17,A,83,sire,NA,NA
NA,17,0y,787,sire,NA,NA
NA,17,1y,372,sire,NA,NA
NA,17,2y,61,sire,NA,NA
NA,17,3y,5,sire,NA,NA
