id,dam,sire,birth_year,gender
UTS_15A_050,gp*117,gp#33,1,male
Uts_14A_110,gp*117,gp#116,1,male
UTS_16A_113,gp*81,gp#74,1,male
UTS_16A_048,gp*81,gp#162,1,female
Uts_14A_105,gp*81,gp#114,1,male
UTS_15A_024,gp*156,gp#162,1,male
UTS_15A_052,gp*156,gp#162,1,male
UTS_16A_105,gp*156,gp#93,1,female
UTS_15A_014,gp*103,gp#74,1,male
Uts_13A_025,gp*103,gp#34,1,male
Uts_14A_057,gp*135,gp#114,1,male
UTS_16A_039,gp*38,gp#34,1,male
Uts_13A_011,gp*38,gp#93,1,male
UTS_15A_033,gp*159,gp#74,1,male
UTS_15A_058,gp*159,gp#74,1,male
UTS_15A_045,gp*159,gp#162,1,male
UTS_15A_070,gp*56,gp#108,1,male
UTS_16A_067,gp*56,gp#51,1,male
Uts_12A_017,gp*41,gp#60,1,male
UTS_16A_042,gp*41,gp#36,1,male
Uts19,gp*41,gp#36,1,male
Uts_14A_009,gp*113,gp#122,1,male
Uts_14A_099,gp*113,gp#36,1,male
UTS_16A_107,gp*78,gp#72,1,male
Uts_13A_039,gp*146,gp#195,1,female
Uts_12A_006,gp*146,gp#51,1,male
UTS_16A_083,gp*67,gp#60,1,male
UTS_16A_084,gp*67,gp#60,1,male
Uts_13A_038,gp*67,gp#108,1,male
Uts_13A_032,gp*67,gp#72,1,male
UTS_16A_045,gp*43,gp#38,1,male
UTS_16A_085,gp*57,gp#38,1,male
UTS_16A_069,gp*57,gp#37,1,male
UTS_16A_044,gp*42,gp#37,1,male
UTS_15A_073,gp*170,gp#80,1,male
Uts_14A_091,gp*137,gp#148,1,male
Uts_13A_033,gp*137,gp#194,1,female
Uts_11_30,gp*137,gp#184,1,male
Uts_14A_067,gp*137,gp#142,1,male
UTS_16A_103,gp*76,gp#38,1,male
Uts_12A_022,gp*76,gp#80,1,male
Uts23,gp*76,gp#142,1,male
Uts32,gp*76,gp#142,1,male
UTS_15A_066,gp*76,gp#198,1,female
UTS_15A_027,gp*69,gp#148,1,male
UTS_16A_088,gp*69,gp#62,1,male
Uts_14A_084,gp*69,gp#62,1,male
Uts_14A_059,gp*136,gp#140,1,male
Uts04,gp*139,gp#168,1,male
Uts_14A_072,gp*139,gp#50,1,male
Uts_14A_104,gp*114,gp#113,1,male
UTS_16A_058,gp*50,gp#44,1,male
Uts_13A_004,gp*54,gp#113,1,female
UTS_16A_065,gp*54,gp#50,1,male
UTS_16A_112,gp*54,gp#44,1,female
Uts35,gp*54,gp#140,1,male
UTS_15A_048,gp*152,gp#168,1,male
UTS_15A_004,gp*152,gp#44,1,male
UTS_15A_038,gp*163,gp#134,1,male
Uts02,gp*163,gp#173,1,male
Uts_14A_064,gp*131,gp#141,1,male
Uts_14A_041,gp*131,gp#134,1,male
Uts_13A_037,gp*131,gp#173,1,female
UTS_15A_006,gp*131,gp#158,1,male
UTS_16A_036,gp*131,gp#158,1,female
Uts_14A_096,gp*58,gp#141,1,male
UTS_16A_070,gp*58,gp#53,1,male
Uts_12A_010,gp*148,gp#124,1,male
Uts_12A_013,gp*150,gp#124,1,male
Uts_13A_012,gp*144,gp#193,1,female
Uts_13A_064,gp*144,gp#145,1,male
UTS_16A_076,gp*63,gp#58,1,male
Uts_14A_012,gp*63,gp#124,1,male
UTS_15A_040,gp*95,gp#193,1,female
Uts_14A_078,gp*95,gp#145,1,male
Uts_13A_035,gp*95,gp#106,1,male
Uts_13A_008,gp*95,gp#92,1,male
Uts_13A_005,gp*95,gp#58,1,male
Uts_13A_034,gp*95,gp#105,1,male
UTS_16A_104,gp*77,gp#70,1,male
Uts14,gp*77,gp#179,1,male
Uts_11_31,gp*180,gp#185,1,male
Uts_11_26,gp*180,gp#179,1,male
Uts_14A_097,gp*111,gp#111,1,male
Uts_11_39,gp*111,gp#70,1,female
Uts_12A_015,gp*84,gp#78,1,male
Uts_12A_023,gp*84,gp#78,1,male
Uts_14A_066,gp*189,gp#192,1,female
UTS_15A_030,gp*189,gp#78,1,female
Uts_12A_027,gp*161,gp#192,1,female
UTS_15A_035,gp*161,gp#78,1,male
Uts_14A_028,gp*128,gp#107,1,male
Uts_12A_036,gp*92,gp#88,1,male
Uts10,gp*92,gp#88,1,male
Uts_14A_039,gp*92,gp#107,1,male
Uts25,gp*92,gp#183,1,male
Uts34,gp*92,gp#137,1,male
Uts_12A_025,gp*86,gp#81,1,male
Uts_12A_001,gp*86,gp#81,1,male
Uts_12A_018,gp*132,gp#183,1,female
Uts_14A_049,gp*132,gp#137,1,male
Uts_13A_036,gp*91,gp#107,1,male
Uts_12A_035,gp*91,gp#81,1,male
UTS_15A_008,gp*116,gp#143,1,male
Uts_14A_109,gp*116,gp#115,1,male
Uts_14A_051,gp*133,gp#138,1,male
Uts_11_46,gp*89,gp#138,1,male
Uts_12A_031,gp*89,gp#84,1,male
Uts_14A_068,gp*138,gp#143,1,male
Uts_12A_005,gp*138,gp#84,1,male
Uts_13A_056,gp*142,gp#149,1,male
UTS_15A_075,gp*169,gp#171,1,male
gp*112,NA,NA,0,unknown
gp#43,NA,NA,2,unknown
gp*101,NA,NA,0,unknown
gp#1,NA,NA,2,unknown
gp#98,NA,NA,2,unknown
gp*1,NA,NA,0,unknown
gp*52,NA,NA,0,unknown
gp#47,NA,NA,2,unknown
gp#136,NA,NA,2,unknown
gp*98,NA,NA,0,unknown
gp#48,NA,NA,2,unknown
gp*96,NA,NA,0,unknown
gp#91,NA,NA,2,unknown
gp*2,NA,NA,0,unknown
gp#2,NA,NA,2,unknown
gp#166,NA,NA,2,unknown
gp*88,NA,NA,0,unknown
gp#32,NA,NA,2,unknown
gp*34,NA,NA,0,unknown
gp*29,NA,NA,0,unknown
gp#22,NA,NA,2,unknown
gp#29,NA,NA,2,unknown
