OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Uts_14_0y_0833,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0834,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0835,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0836,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0837,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0838,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0839,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0840,usF2013,Uts_13A_029,NA,local,NA,TenoMainstem
Uts_14_0y_0841,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0842,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0843,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0844,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0845,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0846,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0847,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0848,usF2013,Uts_13A_054,NA,local,NA,TenoMainstem
Uts_14_0y_0849,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0850,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0851,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0852,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0853,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0854,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0855,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0856,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0858,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0859,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0860,Uts_13A_039,Uts_13A_024,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0861,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0862,Uts_13A_039,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0863,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0864,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0865,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0866,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0867,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0868,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0869,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0870,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0871,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0872,usF2013,Uts_13A_056,NA,local,NA,TenoMainstem
Uts_14_0y_0873,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0874,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0875,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0876,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0877,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0878,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0879,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0880,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0881,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0882,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0883,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0884,usF2013,Uts_13A_050,NA,local,NA,TenoMainstem
Uts_14_0y_0885,usF2013,Uts_13A_013,NA,local,NA,TenoMainstem
Uts_14_0y_0886,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0887,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0888,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0889,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_0890,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0891,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0892,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0893,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0894,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0895,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0896,NA,usM2013,NA,NA,NA,NA
Uts_14_0y_0897,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0898,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0899,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0900,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0901,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0902,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0903,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0904,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0905,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0906,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0907,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0908,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0909,Uts_13A_047,Uts_13A_043,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0910,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0911,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0912,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0913,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0914,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0915,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0916,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0917,Uts_13A_044,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0918,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0919,Uts_13A_033,Uts_13A_023,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0920,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0921,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0922,usF2013,Uts_13A_009,NA,local,NA,TenoMainstem
Uts_14_0y_0923,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0924,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0925,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0926,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0927,usF2013,usM2013,NA,NA,NA,NA
