         OffspringID             FatherID             MotherID    CloneIndex  ClusterIndex
               Uts34                gp*92               gp#137           358            28
         Uts_12A_025                gp*86                gp#81           113            28
         Uts_12A_001                gp*86                gp#81           246            28
         Uts_12A_018               gp*132               gp#183           392            28
         Uts_14A_049               gp*132               gp#137           205            28
         Uts_13A_036                gp*91               gp#107           153            28
         Uts_12A_035                gp*91                gp#81           121            28
         UTS_15A_008               gp*116               gp#143           268            29
         Uts_14A_109               gp*116               gp#115           169            29
         Uts_14A_051               gp*133               gp#138           206            29
           Uts_11_46                gp*89               gp#138           374            29
         Uts_12A_031                gp*89                gp#84           117            29
         Uts_14A_068               gp*138               gp#143           218            29
         Uts_12A_005               gp*138                gp#84           248            29
         Uts_13A_056               gp*142               gp#149           239            30
         UTS_15A_071               gp*169               gp#171           319            31
         UTS_15A_075               gp*169               gp#171           319            31
