offspring,microsat_dam,microsat_sire,snp_dam,snp_sire
UTS_15_0Y_0297,NA,NA,id_miss,id_miss
UTS_15_0Y_0298,NA,NA,id_miss,id_miss
UTS_15_0Y_0299,NA,NA,id_miss,id_miss
UTS_15_0Y_0300,NA,NA,id_miss,id_miss
UTS_15_0Y_0301,NA,NA,id_miss,id_miss
UTS_15_0Y_0302,NA,NA,id_miss,id_miss
UTS_15_0Y_0303,NA,NA,id_miss,id_miss
UTS_15_0Y_0304,NA,NA,id_miss,id_miss
UTS_15_0Y_0305,NA,NA,id_miss,id_miss
UTS_15_0Y_0306,NA,NA,id_miss,id_miss
UTS_15_0Y_0307,NA,NA,id_miss,id_miss
UTS_15_0Y_0308,NA,NA,id_miss,id_miss
UTS_15_0Y_0309,NA,NA,id_miss,id_miss
UTS_15_0Y_0310,NA,NA,id_miss,id_miss
UTS_15_0Y_0311,NA,NA,id_miss,id_miss
UTS_15_0Y_0312,NA,NA,id_miss,id_miss
UTS_15_0Y_0313,NA,NA,id_miss,id_miss
UTS_15_0Y_0314,NA,UTS_14A_110,id_miss,id_miss
UTS_15_0Y_0315,NA,NA,id_miss,id_miss
UTS_15_0Y_0316,UTS_14A_024,NA,id_miss,id_miss
UTS_15_0Y_0317,NA,NA,id_miss,id_miss
UTS_15_0Y_0318,NA,NA,id_miss,id_miss
UTS_15_0Y_0319,NA,NA,id_miss,id_miss
UTS_15_0Y_0320,NA,NA,id_miss,id_miss
UTS_15_0Y_0321,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0323,NA,NA,id_miss,id_miss
UTS_15_0Y_0324,NA,NA,id_miss,id_miss
UTS_15_0Y_0325,NA,NA,id_miss,id_miss
UTS_15_0Y_0326,NA,NA,id_miss,id_miss
UTS_15_0Y_0327,NA,NA,id_miss,id_miss
UTS_15_0Y_0328,NA,NA,id_miss,id_miss
UTS_15_0Y_0329,NA,NA,id_miss,id_miss
UTS_15_0Y_0330,NA,NA,id_miss,id_miss
UTS_15_0Y_0331,NA,NA,id_miss,id_miss
UTS_15_0Y_0332,NA,NA,id_miss,id_miss
UTS_15_0Y_0333,NA,NA,id_miss,id_miss
UTS_15_0Y_0334,NA,NA,id_miss,id_miss
UTS_15_0Y_0335,NA,NA,id_miss,id_miss
UTS_15_0Y_0336,NA,NA,id_miss,id_miss
UTS_15_0Y_0337,NA,NA,id_miss,id_miss
UTS_15_0Y_0338,NA,NA,id_miss,id_miss
UTS_15_0Y_0339,NA,NA,id_miss,id_miss
UTS_15_0Y_0340,NA,NA,id_miss,id_miss
UTS_15_0Y_0341,NA,NA,id_miss,id_miss
UTS_15_0Y_0342,NA,NA,id_miss,id_miss
UTS_15_0Y_0343,NA,NA,id_miss,id_miss
UTS_15_0Y_0344,NA,NA,id_miss,id_miss
UTS_15_0Y_0345,NA,NA,id_miss,id_miss
UTS_15_0Y_0346,NA,NA,id_miss,id_miss
UTS_15_0Y_0347,NA,NA,id_miss,id_miss
UTS_15_0Y_0349,NA,NA,id_miss,id_miss
UTS_15_0Y_0350,NA,NA,id_miss,id_miss
UTS_15_0Y_0351,NA,NA,id_miss,id_miss
UTS_15_0Y_0352,NA,NA,id_miss,id_miss
UTS_15_0Y_0353,NA,UTS_14A_068,id_miss,id_miss
UTS_15_0Y_0354,NA,NA,id_miss,id_miss
UTS_15_0Y_0355,NA,NA,id_miss,id_miss
UTS_15_0Y_0356,NA,NA,id_miss,id_miss
UTS_15_0Y_0357,NA,NA,id_miss,id_miss
UTS_15_0Y_0358,NA,NA,id_miss,id_miss
UTS_15_0Y_0359,NA,NA,id_miss,id_miss
UTS_15_0Y_0360,NA,NA,id_miss,id_miss
UTS_15_0Y_0361,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0362,NA,NA,id_miss,id_miss
UTS_15_0Y_0363,NA,NA,id_miss,id_miss
UTS_15_0Y_0364,NA,NA,id_miss,id_miss
UTS_15_0Y_0366,NA,NA,id_miss,id_miss
UTS_15_0Y_0367,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0369,NA,NA,id_miss,id_miss
UTS_15_0Y_0370,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0371,NA,NA,id_miss,id_miss
UTS_15_0Y_0372,NA,NA,id_miss,id_miss
UTS_15_0Y_0373,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0374,NA,NA,id_miss,id_miss
UTS_15_0Y_0375,NA,UTS_14A_095,id_miss,id_miss
UTS_15_0Y_0376,NA,NA,id_miss,id_miss
UTS_15_0Y_0377,NA,NA,id_miss,id_miss
UTS_15_0Y_0378,NA,NA,id_miss,id_miss
UTS_15_0Y_0379,NA,NA,id_miss,id_miss
UTS_15_0Y_0380,NA,NA,id_miss,id_miss
UTS_15_0Y_0381,UTS_14A_066,UTS_14A_106,id_miss,id_miss
UTS_15_0Y_0382,NA,NA,id_miss,id_miss
UTS_15_0Y_0383,NA,NA,id_miss,id_miss
UTS_15_0Y_0384,NA,NA,id_miss,id_miss
UTS_15_0Y_0385,NA,NA,id_miss,id_miss
UTS_15_0Y_0386,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0387,NA,NA,id_miss,id_miss
UTS_15_0Y_0388,NA,NA,id_miss,id_miss
UTS_15_0Y_0389,NA,NA,id_miss,id_miss
UTS_15_0Y_0390,NA,NA,id_miss,id_miss
UTS_15_0Y_0391,NA,NA,id_miss,id_miss
UTS_15_0Y_0392,NA,UTS_14A_046,id_miss,id_miss
UTS_15_0Y_0393,NA,NA,id_miss,id_miss
UTS_15_0Y_0394,NA,UTS_14A_085,id_miss,id_miss
UTS_15_0Y_0395,NA,NA,id_miss,id_miss
UTS_15_0Y_0396,NA,NA,id_miss,id_miss
UTS_15_0Y_0397,NA,NA,id_miss,id_miss
UTS_15_0Y_0398,NA,NA,id_miss,id_miss
UTS_15_0Y_0399,NA,NA,id_miss,id_miss
UTS_15_0Y_0400,NA,NA,id_miss,id_miss
UTS_15_0Y_0401,NA,UTS_14A_044,id_miss,id_miss
UTS_15_0Y_0402,NA,NA,id_miss,id_miss
UTS_15_0Y_0403,NA,UTS_14A_083,id_miss,id_miss
UTS_15_0Y_0404,UTS_14A_108,UTS_14A_092,id_miss,id_miss
UTS_15_0Y_0405,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0406,NA,NA,id_miss,id_miss
UTS_15_0Y_0407,NA,NA,id_miss,id_miss
UTS_15_0Y_0408,UTS_14A_024,NA,id_miss,id_miss
UTS_15_0Y_0409,NA,NA,id_miss,id_miss
UTS_15_0Y_0410,NA,NA,id_miss,id_miss
UTS_15_0Y_0411,NA,NA,id_miss,id_miss
UTS_15_0Y_0412,NA,UTS_14A_027,id_miss,id_miss
UTS_15_0Y_0413,NA,NA,id_miss,id_miss
UTS_15_0Y_0414,NA,NA,id_miss,id_miss
UTS_15_0Y_0415,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0416,NA,NA,id_miss,id_miss
UTS_15_0Y_0417,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0418,NA,NA,id_miss,id_miss
UTS_15_0Y_0419,NA,NA,id_miss,id_miss
UTS_15_0Y_0420,UTS_14A_108,UTS_14A_103,id_miss,id_miss
UTS_15_0Y_0421,NA,NA,id_miss,id_miss
UTS_15_0Y_0422,NA,NA,id_miss,id_miss
UTS_15_0Y_0423,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0424,NA,NA,id_miss,id_miss
UTS_15_0Y_0427,NA,UTS_14A_083,id_miss,id_miss
UTS_15_0Y_0428,NA,NA,id_miss,id_miss
UTS_15_0Y_0429,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0430,NA,NA,id_miss,id_miss
UTS_15_0Y_0431,NA,UTS_14A_025,id_miss,id_miss
UTS_15_0Y_0432,NA,NA,id_miss,id_miss
UTS_15_0Y_0433,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0434,NA,NA,id_miss,id_miss
UTS_15_0Y_0435,NA,NA,id_miss,id_miss
UTS_15_0Y_0436,NA,NA,id_miss,id_miss
UTS_15_0Y_0438,NA,NA,id_miss,id_miss
UTS_15_0Y_0439,NA,NA,id_miss,id_miss
UTS_15_0Y_0440,NA,NA,id_miss,id_miss
UTS_15_0Y_0441,NA,UTS_14A_089,id_miss,id_miss
UTS_15_0Y_0442,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0443,NA,NA,id_miss,id_miss
UTS_15_0Y_0444,NA,NA,id_miss,id_miss
UTS_15_0Y_0445,NA,NA,id_miss,id_miss
UTS_15_0Y_0446,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0447,NA,NA,id_miss,id_miss
UTS_15_0Y_0448,NA,NA,id_miss,id_miss
UTS_15_0Y_0449,NA,NA,id_miss,id_miss
UTS_15_0Y_0450,NA,NA,id_miss,id_miss
UTS_15_0Y_0451,NA,UTS_14A_096,id_miss,id_miss
UTS_15_0Y_0452,NA,NA,id_miss,id_miss
UTS_15_0Y_0453,NA,NA,id_miss,id_miss
